"Station.ID","Date.EST","param","Units","HalfMDL","source"
"PI-02",2006-02-21,"Turb","NTU",1.22,"Lee County"
"PI-02",2006-03-28,"Chla","ug/L",0.5,"Lee County"
"PI-02",2006-03-28,"color","PCU",20.1,"Lee County"
"PI-02",2006-03-28,"DO.mgL","mg/L",7.8,"Lee County"
"PI-02",2006-03-28,"K.par","1/m",1.1,"Lee County"
"PI-02",2006-03-28,"NOx","mg/L",0.005,"Lee County"
"PI-02",2006-03-28,"Pheo","ug/L",3.6,"Lee County"
"PI-02",2006-03-28,"sal","PSU",23.4,"Lee County"
"PI-02",2006-03-28,"secchi","meters",NA,"Lee County"
"PI-02",2006-03-28,"SPC","uS/cm",36900,"Lee County"
"PI-02",2006-03-28,"TKN","mg/L",0.39,"Lee County"
"PI-02",2006-03-28,"TN","mg/L",0.4,"Lee County"
"PI-02",2006-03-28,"TOC","mg/L",7.89,"Lee County"
"PI-02",2006-03-28,"TP","mg/L",0.05,"Lee County"
"PI-02",2006-03-28,"TSS","mg/L",7.8,"Lee County"
"PI-02",2006-03-28,"Turb","NTU",1.7,"Lee County"
"PI-02",2006-04-18,"Chla","ug/L",6.7,"Lee County"
"PI-02",2006-04-18,"color","PCU",16.8,"Lee County"
"PI-02",2006-04-18,"DO.mgL","mg/L",6.6,"Lee County"
"PI-02",2006-04-18,"K.par","1/m",0.46,"Lee County"
"PI-02",2006-04-18,"NOx","mg/L",0.01,"Lee County"
"PI-02",2006-04-18,"Pheo","ug/L",1,"Lee County"
"PI-02",2006-04-18,"sal","PSU",25,"Lee County"
"PI-02",2006-04-18,"secchi","meters",NA,"Lee County"
"PI-02",2006-04-18,"SPC","uS/cm",39200,"Lee County"
"PI-02",2006-04-18,"TKN","mg/L",0.51,"Lee County"
"PI-02",2006-04-18,"TN","mg/L",0.52,"Lee County"
"PI-02",2006-04-18,"TOC","mg/L",7.24,"Lee County"
"PI-02",2006-04-18,"TP","mg/L",0.05,"Lee County"
"PI-02",2006-04-18,"TSS","mg/L",8.2,"Lee County"
"PI-02",2006-04-18,"Turb","NTU",0.98,"Lee County"
"PI-02",2006-05-15,"Chla","ug/L",2.4,"Lee County"
"PI-02",2006-05-15,"color","PCU",18.9,"Lee County"
"PI-02",2006-05-15,"DO.mgL","mg/L",5.7,"Lee County"
"PI-02",2006-05-15,"NOx","mg/L",0.01,"Lee County"
"PI-02",2006-05-15,"Pheo","ug/L",1.4,"Lee County"
"PI-02",2006-05-15,"sal","PSU",28.7,"Lee County"
"PI-02",2006-05-15,"secchi","meters",NA,"Lee County"
"PI-02",2006-05-15,"SPC","uS/cm",44500,"Lee County"
"PI-02",2006-05-15,"TKN","mg/L",0.39,"Lee County"
"PI-02",2006-05-15,"TN","mg/L",0.4,"Lee County"
"PI-02",2006-05-15,"TOC","mg/L",7.27,"Lee County"
"PI-02",2006-05-15,"TP","mg/L",0.07,"Lee County"
"PI-02",2006-05-15,"TSS","mg/L",9.8,"Lee County"
"PI-02",2006-05-15,"Turb","NTU",0.9,"Lee County"
"PI-02",2006-06-19,"Chla","ug/L",5.5,"Lee County"
"PI-02",2006-06-19,"color","PCU",17.6,"Lee County"
"PI-02",2006-06-19,"DO.mgL","mg/L",5.3,"Lee County"
"PI-02",2006-06-19,"K.par","1/m",3.122,"Lee County"
"PI-02",2006-06-19,"NOx","mg/L",0.02,"Lee County"
"PI-02",2006-06-19,"Pheo","ug/L",7.7,"Lee County"
"PI-02",2006-06-19,"sal","PSU",25.6,"Lee County"
"PI-02",2006-06-19,"secchi","meters",NA,"Lee County"
"PI-02",2006-06-19,"SPC","uS/cm",40200,"Lee County"
"PI-02",2006-06-19,"TKN","mg/L",0.69,"Lee County"
